,t_cap,t_hh,xlong,ylat
370,2300.0,80.0,239.43801000000002,45.65739
371,2300.0,80.0,239.42181,45.65109
372,2300.0,80.0,239.4155,45.63036
373,2300.0,80.0,239.43591,45.6405
374,2300.0,80.0,239.45560999999998,45.6308
375,2300.0,80.0,239.48910999999998,45.63709
376,2300.0,80.0,239.43021,45.66119
377,2300.0,80.0,239.43671,45.64389
378,2300.0,80.0,239.42802,45.6695
379,1650.0,80.0,241.52658,45.89164
380,1650.0,80.0,241.53104000000002,45.88825
381,1650.0,80.0,241.53469,45.88783
382,1650.0,80.0,241.52686,45.89792
383,1650.0,80.0,241.52832,45.8896
384,1650.0,80.0,241.52573,45.89413
385,1500.0,80.0,235.93791,46.79129
386,1500.0,80.0,235.93532,46.7925
387,1500.0,80.0,235.93131,46.79409
388,1500.0,80.0,235.93342,46.7939
389,1000.0,55.0,241.36822,45.96349
390,1000.0,55.0,241.48751,45.91789
391,1000.0,55.0,241.41976,45.93892
392,1000.0,55.0,241.48881,45.91713
393,1000.0,55.0,241.485,45.91961
394,1000.0,55.0,241.37986,45.94813
395,1000.0,55.0,241.38097,45.94686
396,1000.0,55.0,241.40961,45.94239
397,1000.0,55.0,241.37022000000002,45.96079
398,1000.0,55.0,241.4182,45.93967
399,1000.0,55.0,241.4162,45.92852
400,1000.0,55.0,241.43289,45.94515
401,1000.0,55.0,241.37102,45.9595
402,1000.0,55.0,241.40816999999998,45.94276
403,1000.0,55.0,241.48402,45.92371
404,1000.0,55.0,241.37788999999998,45.95067
405,1000.0,55.0,241.48624,45.91871
406,1000.0,55.0,241.41081,45.94169
407,1000.0,55.0,241.41325,45.94027
408,1000.0,55.0,241.37622,45.95141
409,1000.0,55.0,241.43188,45.94627
410,1000.0,55.0,241.48444,45.92149
411,1000.0,55.0,241.41983,45.92764
412,1000.0,55.0,241.41521,45.92918
413,1000.0,55.0,241.43392,45.94434
414,1000.0,55.0,241.37331,45.95644
415,1000.0,55.0,241.41309,45.93054
416,1000.0,55.0,241.36581,45.96569
417,1000.0,55.0,241.37492,45.9525
418,1000.0,55.0,241.41424999999998,45.92995
419,1000.0,55.0,241.37892,45.94941
420,1000.0,55.0,241.49004,45.91626
421,1000.0,55.0,241.41206,45.94104
422,1000.0,55.0,241.36708,45.96495
423,1000.0,55.0,241.41088000000002,45.93183
424,1000.0,55.0,241.41194000000002,45.93118
425,1000.0,55.0,241.41445,45.93957
426,1000.0,55.0,241.42113,45.92719
427,1000.0,55.0,241.41861,45.92822
428,1000.0,55.0,241.37212,45.95799
429,1000.0,55.0,241.43085000000002,45.94751
430,1000.0,69.0,241.47462000000002,45.9204
431,1000.0,69.0,241.43671,45.95519
432,1000.0,69.0,241.41692,45.94949
433,1000.0,69.0,241.44131,45.94939
434,1000.0,69.0,241.44752,45.9422
435,1000.0,69.0,241.44382000000002,45.946
436,1000.0,69.0,241.34251,45.96309
437,1000.0,69.0,241.45111,45.93649
438,1000.0,69.0,241.43977999999998,45.9519
439,1000.0,69.0,241.40701,45.9478
440,1000.0,69.0,241.41782,45.94759
441,1000.0,69.0,241.40451000000002,45.94949
442,1000.0,69.0,241.47151,45.92429
443,1000.0,69.0,241.42451,45.9371
444,1000.0,69.0,241.42322000000001,45.93789
445,1000.0,69.0,241.34821,45.9549
446,1000.0,69.0,241.40752,45.9446
447,1000.0,69.0,241.42741,45.93589
448,1000.0,69.0,241.36172,45.97049
449,1000.0,69.0,241.45592,45.93329
450,1000.0,69.0,241.42901999999998,45.93559
451,1000.0,69.0,241.33971,45.96389
452,1000.0,69.0,241.45740999999998,45.93259
453,1000.0,69.0,241.43811,45.9544
454,1000.0,69.0,241.47581,45.91909
455,1000.0,69.0,241.34492,45.96169
456,1000.0,69.0,241.36462,45.9666
457,1000.0,69.0,241.44862,45.9413
458,1000.0,69.0,241.34551,45.95969
459,1000.0,69.0,241.42591,45.93649
460,1000.0,69.0,241.36352,45.968
461,1000.0,69.0,241.44038999999998,45.95051
462,1000.0,69.0,241.45032,45.93819
463,1000.0,69.0,241.45461,45.93409
464,1000.0,69.0,241.40231,45.9544
465,1000.0,69.0,241.45872,45.93189
466,1000.0,69.0,241.33831,45.96429
467,1000.0,69.0,241.43912,45.95319
468,1000.0,69.0,241.47351,45.9218
469,1000.0,69.0,241.47244999999998,45.92298
470,1000.0,69.0,241.41921000000002,45.9465
471,1000.0,69.0,241.34371,45.96259
472,1000.0,69.0,241.44672,45.9432
473,1000.0,69.0,241.34100999999998,45.96359
474,1000.0,69.0,241.40282000000002,45.9502
475,1000.0,69.0,241.45222,45.9357
476,1000.0,69.0,241.35191,45.95139
477,1000.0,69.0,241.44231000000002,45.94819
478,1000.0,69.0,241.45341000000002,45.9349
479,1000.0,69.0,241.35561,45.9498
480,1000.0,69.0,241.35232000000002,45.94659
481,1000.0,69.0,241.34631000000002,45.9582
482,1000.0,69.0,241.44461,45.9451
483,1000.0,69.0,241.44582,45.9442
484,1000.0,69.0,241.34951,45.95379
485,1000.0,69.0,241.40272,45.95229
486,1000.0,69.0,241.34692,45.9562
487,1000.0,69.0,241.35062,45.9526
488,1000.0,69.0,241.36272,45.96909
489,1000.0,69.0,241.35300999999998,45.95039
490,1000.0,69.0,241.40591,45.945
491,1000.0,69.0,241.40600999999998,45.94899
492,1000.0,69.0,241.44970999999998,45.94009
493,600.0,60.0,239.74532,45.22609
494,600.0,60.0,239.72710999999998,45.2673
495,600.0,60.0,239.71802,45.2814
496,600.0,60.0,239.72662,45.25119
497,600.0,60.0,239.71891,45.279
498,600.0,60.0,239.75612999999998,45.23077
499,600.0,60.0,239.74376999999998,45.23476
500,600.0,60.0,239.71751,45.2827
501,600.0,60.0,239.72701,45.2711
502,600.0,60.0,239.74592,45.2249
503,600.0,60.0,239.71712,45.28389
504,600.0,60.0,239.72701,45.27239
505,600.0,60.0,239.71841,45.28019
506,600.0,60.0,239.72662,45.24999
507,600.0,60.0,239.75556,45.23451
508,600.0,60.0,239.70602,45.24619
509,600.0,60.0,239.71751,45.24999
510,600.0,60.0,239.71850999999998,45.24749
511,600.0,60.0,239.72710999999998,45.266
512,600.0,60.0,239.72662,45.2525
513,600.0,60.0,239.71931,45.2777
